,citystate,pop,lat,lng
592,Angora NE,59,41.893434,-103.085019
593,Anguilla MS,1230,33.01213,-90.809535
594,Angwin CA,3661,38.576906,-122.447732
595,Animas NM,882,31.793696,-108.585695
596,Anita IA,1407,41.449973,-94.779401
597,Anita PA,412,41.001806,-78.966637
598,Aniwa WI,1068,45.01039,-89.268254
599,Ankeny IA,21595,41.72755,-93.602175
600,Ann Arbor MI,158345,42.279379,-83.783998
601,Anna IL,7276,37.466777,-89.220684
602,Anna OH,4280,40.405105,-84.210344
603,Anna TX,11831,33.344516,-96.563862
604,Annada MO,125,39.255758,-90.822355
605,Annandale MN,7107,45.248272,-94.106072
606,Annandale NJ,8551,40.628731,-74.885512
607,Annandale VA,55990,38.830699,-77.214245
608,Annapolis CA,401,38.714485,-123.314214
609,Annapolis IL,421,39.117857,-87.802875
610,Annapolis Juncti MD,2,39.130983,-76.798068
611,Annapolis MD,30269,38.952394,-76.49103
